Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Country/Region,City,State/Province,Postal Code,Division,Region,Product ID,Product Name,Sales,Units,Gross Profit,Cost,Lead_Time,Factory,Recommendation
14,US-2021-167199-CHO-FUD-51000,2024-06-01,2026-07-03,3,167199,United States,Henderson,Kentucky,42420,Chocolate,1,CHO-FUD-51000,9,7.2,2,4.8,2.4,762.0,0,Keep Current Factory
15,US-2021-105417-CHO-MIL-31000,2024-07-01,2026-07-05,3,105417,United States,Huntsville,Texas,77340,Chocolate,2,CHO-MIL-31000,10,9.75,3,6.33,3.42,734.0,4,Keep Current Factory
16,US-2021-105417-CHO-TRI-54000,2024-07-01,2026-07-05,3,105417,United States,Huntsville,Texas,77340,Chocolate,2,CHO-TRI-54000,12,26.25,7,17.15,9.1,734.0,4,Keep Current Factory
17,US-2021-135405-CHO-TRI-54000,2024-09-01,2026-07-06,3,135405,United States,Laredo,Texas,78041,Chocolate,2,CHO-TRI-54000,12,7.5,2,4.9,2.6,673.0,4,Keep Current Factory
18,US-2021-135405-CHO-TRI-54000,2024-09-01,2026-07-06,3,135405,United States,Laredo,Texas,78041,Chocolate,2,CHO-TRI-54000,12,11.25,3,7.35,3.9,673.0,4,Keep Current Factory
19,US-2021-149020-CHO-MIL-31000,2024-10-01,2026-07-08,3,149020,United States,Springfield,Virginia,22153,Chocolate,1,CHO-MIL-31000,10,3.25,1,2.11,1.14,645.0,4,Keep Current Factory
20,US-2021-149020-OTH-GUM-21000,2024-10-01,2026-07-08,3,149020,United States,Springfield,Virginia,22153,Other,1,OTH-GUM-21000,14,1.25,1,0.65,0.6,645.0,1,Keep Current Factory
21,US-2021-130092-CHO-MIL-31000,2024-11-01,2026-07-07,0,130092,United States,Dover,Delaware,19901,Chocolate,0,CHO-MIL-31000,10,6.5,2,4.22,2.28,613.0,4,Keep Current Factory
22,US-2021-157147-CHO-MIL-31000,,2026-07-11,3,157147,United States,San Francisco,California,94109,Chocolate,3,CHO-MIL-31000,10,9.75,3,6.33,3.42,,4,Keep Current Factory
23,US-2021-109232-CHO-NUT-13000,,2026-07-09,2,109232,United States,Mount Pleasant,South Carolina,29464,Chocolate,1,CHO-NUT-13000,11,20.94,6,14.94,6.0,,0,Keep Current Factory
24,US-2021-157147-CHO-MIL-31000,,2026-07-11,3,157147,United States,San Francisco,California,94109,Chocolate,3,CHO-MIL-31000,10,16.25,5,10.55,5.7,,4,Keep Current Factory
25,US-2021-118192-CHO-SCR-58000,,2026-07-11,3,118192,United States,Newark,Ohio,43055,Chocolate,0,CHO-SCR-58000,13,7.2,2,5.0,2.2,,0,Keep Current Factory
26,US-2021-162775-CHO-TRI-54000,,2026-07-08,2,162775,United States,Bossier City,Louisiana,71111,Chocolate,1,CHO-TRI-54000,12,11.25,3,7.35,3.9,,4,Keep Current Factory
27,US-2021-162775-OTH-KAZ-38000,,2026-07-08,2,162775,United States,Bossier City,Louisiana,71111,Other,1,OTH-KAZ-38000,4,9.75,3,0.75,9.0,,3,Keep Current Factory
28,US-2021-162775-CHO-MIL-31000,,2026-07-08,2,162775,United States,Bossier City,Louisiana,71111,Chocolate,1,CHO-MIL-31000,10,6.5,2,4.22,2.28,,4,Keep Current Factory
29,US-2021-118192-CHO-SCR-58000,,2026-07-11,3,118192,United States,Newark,Ohio,43055,Chocolate,0,CHO-SCR-58000,13,25.2,7,17.5,7.7,,0,Keep Current Factory
30,US-2021-162775-CHO-MIL-31000,,2026-07-08,2,162775,United States,Bossier City,Louisiana,71111,Chocolate,1,CHO-MIL-31000,10,19.5,6,12.66,6.84,,4,Keep Current Factory
31,US-2021-157147-CHO-NUT-13000,,2026-07-11,3,157147,United States,San Francisco,California,94109,Chocolate,3,CHO-NUT-13000,11,17.45,5,12.45,5.0,,0,Keep Current Factory
32,US-2021-162775-CHO-SCR-58000,,2026-07-08,2,162775,United States,Bossier City,Louisiana,71111,Chocolate,1,CHO-SCR-58000,13,21.6,6,15.0,6.6,,0,Keep Current Factory
33,US-2021-149524-OTH-GUM-21000,,2026-07-08,0,149524,United States,Philadelphia,Pennsylvania,19140,Other,0,OTH-GUM-21000,14,5.0,4,2.6,2.4,,1,Keep Current Factory
34,US-2021-103366-CHO-SCR-58000,,2026-07-10,0,103366,United States,Roswell,Georgia,30076,Chocolate,1,CHO-SCR-58000,13,18.0,5,12.5,5.5,,0,Keep Current Factory
35,US-2021-115791-CHO-TRI-54000,,2026-07-11,2,115791,United States,Philadelphia,Pennsylvania,19134,Chocolate,0,CHO-TRI-54000,12,22.5,6,14.7,7.8,,4,Keep Current Factory
36,US-2021-115791-CHO-FUD-51000,,2026-07-11,2,115791,United States,Philadelphia,Pennsylvania,19134,Chocolate,0,CHO-FUD-51000,9,7.2,2,4.8,2.4,,0,Keep Current Factory
37,US-2021-115791-CHO-TRI-54000,,2026-07-11,2,115791,United States,Philadelphia,Pennsylvania,19134,Chocolate,0,CHO-TRI-54000,12,11.25,3,7.35,3.9,,4,Keep Current Factory
38,US-2021-115791-CHO-SCR-58000,,2026-07-11,2,115791,United States,Philadelphia,Pennsylvania,19134,Chocolate,0,CHO-SCR-58000,13,10.8,3,7.5,3.3,,0,Keep Current Factory
39,US-2021-123477-CHO-NUT-13000,,2026-07-14,2,123477,United States,Springfield,Oregon,97477,Chocolate,3,CHO-NUT-13000,11,13.96,4,9.96,4.0,,0,Keep Current Factory
40,US-2021-146591-CHO-TRI-54000,,2026-07-13,0,146591,United States,Scottsdale,Arizona,85254,Chocolate,3,CHO-TRI-54000,12,18.75,5,12.25,6.5,,4,Keep Current Factory
41,US-2021-146591-CHO-FUD-51000,,2026-07-13,0,146591,United States,Scottsdale,Arizona,85254,Chocolate,3,CHO-FUD-51000,9,36.0,10,24.0,12.0,,0,Keep Current Factory
42,US-2021-146591-CHO-TRI-54000,,2026-07-13,0,146591,United States,Scottsdale,Arizona,85254,Chocolate,3,CHO-TRI-54000,12,18.75,5,12.25,6.5,,4,Keep Current Factory
43,US-2021-146591-CHO-FUD-51000,,2026-07-13,0,146591,United States,Scottsdale,Arizona,85254,Chocolate,3,CHO-FUD-51000,9,14.4,4,9.6,4.8,,0,Keep Current Factory
44,US-2021-147627-CHO-TRI-54000,,2026-07-19,3,147627,United States,Jonesboro,Arkansas,72401,Chocolate,1,CHO-TRI-54000,12,11.25,3,7.35,3.9,,4,Keep Current Factory
45,US-2021-167927-CHO-FUD-51000,,2026-07-19,3,167927,United States,Westland,Michigan,48185,Chocolate,2,CHO-FUD-51000,9,10.8,3,7.2,3.6,,0,Keep Current Factory
46,US-2021-167927-CHO-FUD-51000,,2026-07-19,3,167927,United States,Westland,Michigan,48185,Chocolate,2,CHO-FUD-51000,9,10.8,3,7.2,3.6,,0,Keep Current Factory
47,US-2021-147627-CHO-MIL-31000,,2026-07-19,3,147627,United States,Jonesboro,Arkansas,72401,Chocolate,1,CHO-MIL-31000,10,13.0,4,8.44,4.56,,4,Keep Current Factory
48,US-2021-148614-CHO-MIL-31000,,2026-07-18,3,148614,United States,Los Angeles,California,90049,Chocolate,3,CHO-MIL-31000,10,6.5,2,4.22,2.28,,4,Keep Current Factory
49,US-2021-167927-CHO-FUD-51000,,2026-07-19,3,167927,United States,Westland,Michigan,48185,Chocolate,2,CHO-FUD-51000,9,14.4,4,9.6,4.8,,0,Keep Current Factory
50,US-2021-147627-CHO-TRI-54000,,2026-07-19,3,147627,United States,Jonesboro,Arkansas,72401,Chocolate,1,CHO-TRI-54000,12,26.25,7,17.15,9.1,,4,Keep Current Factory
51,US-2021-147627-CHO-SCR-58000,,2026-07-19,3,147627,United States,Jonesboro,Arkansas,72401,Chocolate,1,CHO-SCR-58000,13,10.8,3,7.5,3.3,,0,Keep Current Factory
52,US-2021-167927-CHO-NUT-13000,,2026-07-19,3,167927,United States,Westland,Michigan,48185,Chocolate,2,CHO-NUT-13000,11,10.47,3,7.47,3.0,,0,Keep Current Factory
53,US-2021-167927-CHO-MIL-31000,,2026-07-19,3,167927,United States,Westland,Michigan,48185,Chocolate,2,CHO-MIL-31000,10,16.25,5,10.55,5.7,,4,Keep Current Factory
54,US-2021-147774-CHO-NUT-13000,,2026-07-19,3,147774,United States,Smyrna,Tennessee,37167,Chocolate,1,CHO-NUT-13000,11,3.49,1,2.49,1.0,,0,Keep Current Factory
55,US-2021-167927-CHO-TRI-54000,,2026-07-19,3,167927,United States,Westland,Michigan,48185,Chocolate,2,CHO-TRI-54000,12,18.75,5,12.25,6.5,,4,Keep Current Factory
56,US-2021-147627-CHO-FUD-51000,,2026-07-19,3,147627,United States,Jonesboro,Arkansas,72401,Chocolate,1,CHO-FUD-51000,9,10.8,3,7.2,3.6,,0,Keep Current Factory
57,US-2021-148614-CHO-SCR-58000,,2026-07-18,3,148614,United States,Los Angeles,California,90049,Chocolate,3,CHO-SCR-58000,13,7.2,2,5.0,2.2,,0,Keep Current Factory
58,US-2021-167927-CHO-FUD-51000,,2026-07-19,3,167927,United States,Westland,Michigan,48185,Chocolate,2,CHO-FUD-51000,9,3.6,1,2.4,1.2,,0,Keep Current Factory
59,US-2021-167927-CHO-MIL-31000,,2026-07-19,3,167927,United States,Westland,Michigan,48185,Chocolate,2,CHO-MIL-31000,10,6.5,2,4.22,2.28,,4,Keep Current Factory
60,US-2021-147627-CHO-FUD-51000,,2026-07-19,3,147627,United States,Jonesboro,Arkansas,72401,Chocolate,1,CHO-FUD-51000,9,25.2,7,16.8,8.4,,0,Keep Current Factory
61,US-2021-110422-CHO-TRI-54000,,2026-07-16,2,110422,United States,Miami,Florida,33180,Chocolate,1,CHO-TRI-54000,12,11.25,3,7.35,3.9,,4,Keep Current Factory
62,CA-2021-115238-CHO-FUD-51000,,2026-07-17,3,115238,Canada,Toronto,Ontario,M7A,Chocolate,0,CHO-FUD-51000,9,18.0,5,12.0,6.0,,0,Keep Current Factory
63,CA-2021-115238-CHO-MIL-31000,,2026-07-17,3,115238,Canada,Toronto,Ontario,M7A,Chocolate,0,CHO-MIL-31000,10,3.25,1,2.11,1.14,,4,Keep Current Factory
64,CA-2021-115238-CHO-TRI-54000,,2026-07-17,3,115238,Canada,Toronto,Ontario,M7A,Chocolate,0,CHO-TRI-54000,12,18.75,5,12.25,6.5,,4,Keep Current Factory
65,CA-2021-115238-CHO-FUD-51000,,2026-07-17,3,115238,Canada,Toronto,Ontario,M7A,Chocolate,0,CHO-FUD-51000,9,3.6,1,2.4,1.2,,0,Keep Current Factory
66,CA-2021-115238-CHO-MIL-31000,,2026-07-17,3,115238,Canada,Toronto,Ontario,M7A,Chocolate,0,CHO-MIL-31000,10,32.5,10,21.1,11.4,,4,Keep Current Factory
67,US-2021-146997-CHO-TRI-54000,,2026-07-20,3,146997,United States,Lafayette,Indiana,47905,Chocolate,2,CHO-TRI-54000,12,11.25,3,7.35,3.9,,4,Keep Current Factory
68,US-2021-102645-CHO-FUD-51000,,2026-07-21,3,102645,United States,Las Vegas,Nevada,89115,Chocolate,3,CHO-FUD-51000,9,21.6,6,14.4,7.2,,0,Keep Current Factory
69,US-2021-167997-CHO-TRI-54000,,2026-07-22,0,167997,United States,Rapid City,South Dakota,57701,Chocolate,2,CHO-TRI-54000,12,7.5,2,4.9,2.6,,4,Keep Current Factory
70,US-2021-155502-CHO-MIL-31000,,2026-07-24,3,155502,United States,Alexandria,Virginia,22304,Chocolate,1,CHO-MIL-31000,10,9.75,3,6.33,3.42,,4,Keep Current Factory
71,US-2021-155502-CHO-MIL-31000,,2026-07-24,3,155502,United States,Alexandria,Virginia,22304,Chocolate,1,CHO-MIL-31000,10,9.75,3,6.33,3.42,,4,Keep Current Factory
72,US-2021-167997-CHO-TRI-54000,,2026-07-22,0,167997,United States,Rapid City,South Dakota,57701,Chocolate,2,CHO-TRI-54000,12,7.5,2,4.9,2.6,,4,Keep Current Factory
73,US-2021-155502-CHO-MIL-31000,,2026-07-24,3,155502,United States,Alexandria,Virginia,22304,Chocolate,1,CHO-MIL-31000,10,6.5,2,4.22,2.28,,4,Keep Current Factory
74,US-2021-155502-CHO-TRI-54000,,2026-07-24,3,155502,United States,Alexandria,Virginia,22304,Chocolate,1,CHO-TRI-54000,12,11.25,3,7.35,3.9,,4,Keep Current Factory
75,US-2021-155502-CHO-MIL-31000,,2026-07-24,3,155502,United States,Alexandria,Virginia,22304,Chocolate,1,CHO-MIL-31000,10,26.0,8,16.88,9.12,,4,Keep Current Factory
76,US-2021-155502-CHO-FUD-51000,,2026-07-24,3,155502,United States,Alexandria,Virginia,22304,Chocolate,1,CHO-FUD-51000,9,7.2,2,4.8,2.4,,0,Keep Current Factory
77,US-2021-155502-CHO-MIL-31000,,2026-07-24,3,155502,United States,Alexandria,Virginia,22304,Chocolate,1,CHO-MIL-31000,10,42.25,13,27.43,14.82,,4,Keep Current Factory
78,US-2021-117163-CHO-NUT-13000,,2026-07-26,3,117163,United States,San Diego,California,92037,Chocolate,3,CHO-NUT-13000,11,10.47,3,7.47,3.0,,0,Keep Current Factory
79,US-2021-117163-CHO-TRI-54000,,2026-07-26,3,117163,United States,San Diego,California,92037,Chocolate,3,CHO-TRI-54000,12,15.0,4,9.8,5.2,,4,Keep Current Factory
80,US-2021-117163-CHO-SCR-58000,,2026-07-26,3,117163,United States,San Diego,California,92037,Chocolate,3,CHO-SCR-58000,13,3.6,1,2.5,1.1,,0,Keep Current Factory
81,US-2021-100328-CHO-MIL-31000,,2026-07-27,3,100328,United States,New York City,New York,10024,Chocolate,0,CHO-MIL-31000,10,3.25,1,2.11,1.14,,4,Keep Current Factory
82,US-2021-134103-CHO-NUT-13000,,2026-07-28,3,134103,United States,Detroit,Michigan,48234,Chocolate,2,CHO-NUT-13000,11,6.98,2,4.98,2.0,,0,Keep Current Factory
83,US-2021-134103-CHO-NUT-13000,,2026-07-28,3,134103,United States,Detroit,Michigan,48234,Chocolate,2,CHO-NUT-13000,11,6.98,2,4.98,2.0,,0,Keep Current Factory
84,US-2021-115161-CHO-MIL-31000,,2026-07-26,0,115161,United States,Mission Viejo,California,92691,Chocolate,3,CHO-MIL-31000,10,6.5,2,4.22,2.28,,4,Keep Current Factory
85,US-2021-140795-CHO-SCR-58000,2024-01-02,2026-07-27,0,140795,United States,Green Bay,Wisconsin,54302,Chocolate,2,CHO-SCR-58000,13,21.6,6,15.0,6.6,937.0,0,Keep Current Factory
86,US-2021-123400-CHO-MIL-31000,2024-02-02,2026-08-02,3,123400,United States,Saint Petersburg,Florida,33710,Chocolate,1,CHO-MIL-31000,10,6.5,2,4.22,2.28,912.0,4,Keep Current Factory
87,US-2021-139857-CHO-FUD-51000,2024-02-02,2026-07-30,3,139857,United States,San Diego,California,92037,Chocolate,3,CHO-FUD-51000,9,18.0,5,12.0,6.0,909.0,0,Keep Current Factory
88,US-2021-123400-CHO-TRI-54000,2024-02-02,2026-08-02,3,123400,United States,Saint Petersburg,Florida,33710,Chocolate,1,CHO-TRI-54000,12,18.75,5,12.25,6.5,912.0,4,Keep Current Factory
89,US-2021-111059-CHO-NUT-13000,2024-03-02,2026-07-30,2,111059,United States,Seattle,Washington,98105,Chocolate,3,CHO-NUT-13000,11,10.47,3,7.47,3.0,880.0,0,Keep Current Factory
90,US-2021-111059-CHO-SCR-58000,2024-03-02,2026-07-30,2,111059,United States,Seattle,Washington,98105,Chocolate,3,CHO-SCR-58000,13,7.2,2,5.0,2.2,880.0,0,Keep Current Factory
91,US-2021-104808-CHO-FUD-51000,2024-04-02,2026-08-01,2,104808,United States,Escondido,California,92025,Chocolate,3,CHO-FUD-51000,9,7.2,2,4.8,2.4,851.0,0,Keep Current Factory
92,US-2021-107181-CHO-TRI-54000,2024-04-02,2026-08-01,3,107181,United States,San Diego,California,92024,Chocolate,3,CHO-TRI-54000,12,11.25,3,7.35,3.9,851.0,4,Keep Current Factory
93,US-2021-107181-OTH-KAZ-38000,2024-04-02,2026-08-01,3,107181,United States,San Diego,California,92024,Other,3,OTH-KAZ-38000,4,13.0,4,1.0,12.0,851.0,3,Keep Current Factory
94,US-2021-108182-CHO-NUT-13000,2024-06-02,2026-08-03,2,108182,United States,Romeoville,Illinois,60441,Chocolate,2,CHO-NUT-13000,11,6.98,2,4.98,2.0,792.0,0,Keep Current Factory
95,US-2021-131905-CHO-TRI-54000,2024-06-02,2026-08-02,0,131905,United States,Chesapeake,Virginia,23320,Chocolate,1,CHO-TRI-54000,12,15.0,4,9.8,5.2,791.0,4,Keep Current Factory
96,US-2021-131905-CHO-NUT-13000,2024-06-02,2026-08-02,0,131905,United States,Chesapeake,Virginia,23320,Chocolate,1,CHO-NUT-13000,11,17.45,5,12.45,5.0,791.0,0,Keep Current Factory
97,US-2021-131905-CHO-MIL-31000,2024-06-02,2026-08-02,0,131905,United States,Chesapeake,Virginia,23320,Chocolate,1,CHO-MIL-31000,10,3.25,1,2.11,1.14,791.0,4,Keep Current Factory
98,US-2021-169390-CHO-MIL-31000,2024-07-02,2026-08-03,2,169390,United States,New York City,New York,10024,Chocolate,0,CHO-MIL-31000,10,13.0,4,8.44,4.56,762.0,4,Keep Current Factory
99,US-2021-107755-CHO-FUD-51000,2024-07-02,2026-08-05,3,107755,United States,Linden,New Jersey,7036,Chocolate,0,CHO-FUD-51000,9,25.2,7,16.8,8.4,764.0,0,Keep Current Factory
100,US-2021-125759-OTH-GUM-21000,2024-08-02,2026-08-02,0,125759,United States,North Las Vegas,Nevada,89031,Other,3,OTH-GUM-21000,14,2.5,2,1.3,1.2,730.0,1,Keep Current Factory
101,US-2021-168368-CHO-TRI-54000,2024-11-02,2026-08-08,2,168368,United States,Columbia,Missouri,65203,Chocolate,2,CHO-TRI-54000,12,3.75,1,2.45,1.3,644.0,4,Keep Current Factory
102,US-2021-168368-CHO-TRI-54000,2024-11-02,2026-08-08,2,168368,United States,Columbia,Missouri,65203,Chocolate,2,CHO-TRI-54000,12,11.25,3,7.35,3.9,644.0,4,Keep Current Factory
103,US-2021-127614-CHO-MIL-31000,2024-11-02,2026-08-08,3,127614,United States,Chesapeake,Virginia,23320,Chocolate,1,CHO-MIL-31000,10,19.5,6,12.66,6.84,644.0,4,Keep Current Factory
104,US-2021-127614-CHO-MIL-31000,2024-11-02,2026-08-08,3,127614,United States,Chesapeake,Virginia,23320,Chocolate,1,CHO-MIL-31000,10,6.5,2,4.22,2.28,644.0,4,Keep Current Factory
105,US-2021-168368-CHO-NUT-13000,2024-11-02,2026-08-08,2,168368,United States,Columbia,Missouri,65203,Chocolate,2,CHO-NUT-13000,11,10.47,3,7.47,3.0,644.0,0,Keep Current Factory
106,US-2021-168368-CHO-SCR-58000,2024-11-02,2026-08-08,2,168368,United States,Columbia,Missouri,65203,Chocolate,2,CHO-SCR-58000,13,7.2,2,5.0,2.2,644.0,0,Keep Current Factory
107,US-2021-168368-CHO-SCR-58000,2024-11-02,2026-08-08,2,168368,United States,Columbia,Missouri,65203,Chocolate,2,CHO-SCR-58000,13,10.8,3,7.5,3.3,644.0,0,Keep Current Factory
108,US-2021-168368-CHO-TRI-54000,2024-11-02,2026-08-08,2,168368,United States,Columbia,Missouri,65203,Chocolate,2,CHO-TRI-54000,12,7.5,2,4.9,2.6,644.0,4,Keep Current Factory
109,US-2021-127614-CHO-SCR-58000,2024-11-02,2026-08-08,3,127614,United States,Chesapeake,Virginia,23320,Chocolate,1,CHO-SCR-58000,13,10.8,3,7.5,3.3,644.0,0,Keep Current Factory
110,US-2021-110674-CHO-SCR-58000,2024-12-02,2026-08-11,3,110674,United States,Concord,California,94521,Chocolate,3,CHO-SCR-58000,13,7.2,2,5.0,2.2,617.0,0,Keep Current Factory
111,US-2021-121762-CHO-FUD-51000,,2026-08-11,3,121762,United States,Seattle,Washington,98103,Chocolate,3,CHO-FUD-51000,9,7.2,2,4.8,2.4,,0,Keep Current Factory
112,US-2021-107706-CHO-MIL-31000,,2026-08-12,2,107706,United States,Houston,Texas,77095,Chocolate,2,CHO-MIL-31000,10,9.75,3,6.33,3.42,,4,Keep Current Factory
113,US-2021-121762-CHO-SCR-58000,,2026-08-11,3,121762,United States,Seattle,Washington,98103,Chocolate,3,CHO-SCR-58000,13,7.2,2,5.0,2.2,,0,Keep Current Factory
114,US-2021-121762-CHO-SCR-58000,,2026-08-11,3,121762,United States,Seattle,Washington,98103,Chocolate,3,CHO-SCR-58000,13,10.8,3,7.5,3.3,,0,Keep Current Factory
115,US-2021-165568-CHO-SCR-58000,,2026-08-12,3,165568,United States,Seattle,Washington,98105,Chocolate,3,CHO-SCR-58000,13,18.0,5,12.5,5.5,,0,Keep Current Factory
116,US-2021-122567-CHO-FUD-51000,,2026-08-14,3,122567,United States,Dallas,Texas,75220,Chocolate,2,CHO-FUD-51000,9,7.2,2,4.8,2.4,,0,Keep Current Factory
117,US-2021-122567-CHO-TRI-54000,,2026-08-14,3,122567,United States,Dallas,Texas,75220,Chocolate,2,CHO-TRI-54000,12,11.25,3,7.35,3.9,,4,Keep Current Factory
118,US-2021-154165-CHO-MIL-31000,,2026-08-17,3,154165,United States,Chicago,Illinois,60653,Chocolate,2,CHO-MIL-31000,10,45.5,14,29.54,15.96,,4,Keep Current Factory
119,US-2021-165589-CHO-TRI-54000,,2026-08-11,1,165589,United States,Lubbock,Texas,79424,Chocolate,2,CHO-TRI-54000,12,18.75,5,12.25,6.5,,4,Keep Current Factory
120,US-2021-152905-CHO-FUD-51000,,2026-08-17,3,152905,United States,Arlington,Texas,76017,Chocolate,2,CHO-FUD-51000,9,7.2,2,4.8,2.4,,0,Keep Current Factory
121,US-2021-109491-CHO-MIL-31000,,2026-08-19,3,109491,United States,Richmond,Indiana,47374,Chocolate,2,CHO-MIL-31000,10,13.0,4,8.44,4.56,,4,Keep Current Factory
122,US-2021-164903-CHO-SCR-58000,,2026-08-17,3,164903,United States,Los Angeles,California,90049,Chocolate,3,CHO-SCR-58000,13,7.2,2,5.0,2.2,,0,Keep Current Factory
123,US-2021-109491-CHO-MIL-31000,,2026-08-19,3,109491,United States,Richmond,Indiana,47374,Chocolate,2,CHO-MIL-31000,10,9.75,3,6.33,3.42,,4,Keep Current Factory
124,US-2021-165540-CHO-TRI-54000,,2026-08-18,3,165540,United States,Woodstock,Illinois,60098,Chocolate,2,CHO-TRI-54000,12,18.75,5,12.25,6.5,,4,Keep Current Factory
125,US-2021-133354-CHO-NUT-13000,,2026-08-17,0,133354,United States,Moreno Valley,California,92553,Chocolate,3,CHO-NUT-13000,11,10.47,3,7.47,3.0,,0,Keep Current Factory
126,US-2021-103744-CHO-SCR-58000,,2026-08-20,3,103744,United States,El Paso,Texas,79907,Chocolate,2,CHO-SCR-58000,13,10.8,3,7.5,3.3,,0,Keep Current Factory
127,US-2021-103744-OTH-GUM-21000,,2026-08-20,3,103744,United States,El Paso,Texas,79907,Other,2,OTH-GUM-21000,14,3.75,3,1.95,1.8,,1,Keep Current Factory
128,US-2021-137680-CHO-FUD-51000,,2026-08-23,3,137680,United States,Medford,Oregon,97504,Chocolate,3,CHO-FUD-51000,9,10.8,3,7.2,3.6,,0,Keep Current Factory
129,US-2021-137680-CHO-MIL-31000,,2026-08-23,3,137680,United States,Medford,Oregon,97504,Chocolate,3,CHO-MIL-31000,10,13.0,4,8.44,4.56,,4,Keep Current Factory
130,US-2021-156545-CHO-FUD-51000,,2026-08-24,0,156545,United States,Columbus,Ohio,43229,Chocolate,0,CHO-FUD-51000,9,14.4,4,9.6,4.8,,0,Keep Current Factory
131,US-2021-113880-CHO-NUT-13000,2024-01-03,2026-08-26,3,113880,United States,Elmhurst,Illinois,60126,Chocolate,2,CHO-NUT-13000,11,20.94,6,14.94,6.0,966.0,0,Keep Current Factory
132,US-2021-131009-CHO-SCR-58000,2024-01-03,2026-08-26,3,131009,United States,El Paso,Texas,79907,Chocolate,2,CHO-SCR-58000,13,21.6,6,15.0,6.6,966.0,0,Keep Current Factory
133,US-2021-104269-CHO-SCR-58000,2024-01-03,2026-08-27,2,104269,United States,Seattle,Washington,98115,Chocolate,3,CHO-SCR-58000,13,7.2,2,5.0,2.2,967.0,0,Keep Current Factory
134,US-2021-131009-CHO-TRI-54000,2024-01-03,2026-08-26,3,131009,United States,El Paso,Texas,79907,Chocolate,2,CHO-TRI-54000,12,22.5,6,14.7,7.8,966.0,4,Keep Current Factory
135,US-2021-168312-CHO-SCR-58000,2024-01-03,2026-08-28,3,168312,United States,Houston,Texas,77036,Chocolate,2,CHO-SCR-58000,13,10.8,3,7.5,3.3,968.0,0,Keep Current Factory
136,US-2021-131009-CHO-FUD-51000,2024-01-03,2026-08-26,3,131009,United States,El Paso,Texas,79907,Chocolate,2,CHO-FUD-51000,9,18.0,5,12.0,6.0,966.0,0,Keep Current Factory
